ID,DESCRIPTION,LITHOLOGY
956,brown firm sandy clay,CLAY AND SAND
957,brown firm sticky clay,CLAY
958,brown firm sticky clay,CLAY
959,brown flagstone,BEDROCK
960,Brown fossiliferous crystalline lime,BEDROCK
961,Brown fossiliferous lime,BEDROCK
962,Brown fossiliferous oolitic lime,BEDROCK
963,brown glacial,CLAY
964,Brown granular lime,BEDROCK
965,Brown granular textured lime,BEDROCK
966,brown gravelly clay,CLAY AND GRAVEL
967,brown gravelly loam,CLAY AND GRAVEL
968,brown gravel,GRAVEL
969,brown hard lime,BEDROCK
970,brown ls & shale,BEDROCK
971,brown mottled gray silty clay with trace sand,CLAY AND SAND
972,Brown oolitic crystalline lime,BEDROCK
973,Brown oolitic dolomitic lime,BEDROCK
974,Brown oolitic fossilifeorus lime,BEDROCK
975,Brown oolitic fossiliferous crystalline lime,BEDROCK
976,Brown oolitic fossiliferous lime,BEDROCK
977,Brown oolitic lime,BEDROCK
978,Brown oolitic sandy lime,BEDROCK
979,"Brown oolitic lime, tite",BEDROCK
980,brown quick sand,SAND
981,brown rock & clay,DIRT AND BEDROCK
982,brown rock broken,BEDROCK
983,brown rock clay,DIRT AND BEDROCK
984,"""coal"" at",BEDROCK
985,"""lime"" (dolomite)",BEDROCK
986,"""Sand and gravel""",SAND AND GRAVEL
987,"""sandstone""",BEDROCK
988,#5A coal,BEDROCK
989,Above and gray shale,BEDROCK
990,Above cherty,BEDROCK
991,Above plus anhydrite,BEDROCK
992,Above plus black shale,BEDROCK
993,Above plus brown dense lime,BEDROCK
994,Above plus brown dolomitic fossiliferous lime,BEDROCK
995,"Above plus brown oolitic lime, no show of oil",BEDROCK
996,Above plus brown sandy lime,BEDROCK
997,Above plus brown shale,BEDROCK
998,Above plus coal,BEDROCK
999,Above plus dark brown crystalline fossiliferous lime,BEDROCK
1000,Above plus dark brown crystalline lime,BEDROCK
1001,Above plus dark brown dense lime,BEDROCK
1002,Above plus dark brown silky shale,BEDROCK
1003,Above plus dark gray shale,BEDROCK
1004,Above plus gray and brown crystalline fossiliferous lime,BEDROCK
1005,Above plus gray and red shale,BEDROCK
1006,Above plus gray brown crystalline fossiliferous lime,BEDROCK
1007,Above plus gray brown crystalline lime,BEDROCK
1008,Above plus gray calcareous sand,SAND
1009,Above plus gray crystalline fossiliferous lime,BEDROCK
1010,Above plus gray dense lime,BEDROCK
1011,Above plus gray dolomite,BEDROCK
1012,Above plus gray fine grained sand,SAND
1013,Above plus gray oolitic lime,BEDROCK
1014,"Above plus gray oolitic lime, no show of oil",BEDROCK
1015,Above plus gray sandy fossiliferous lime,BEDROCK
1016,Above plus gray sandy lime,BEDROCK
1017,Above plus gray sandy shale,BEDROCK
1018,Above plus gray silty shale,BEDROCK
1019,Above plus gray slightly dolomitic lime,BEDROCK
1020,Above plus gray sucrossic dolomite,BEDROCK
1021,Above plus green and red shale,BEDROCK
1022,Above plus green and white fine grained sand,SAND
1023,Above plus green calcareous sand,SAND
1024,Above plus green fine grained sand,BEDROCK
1025,Above plus green fine grained sandstone,BEDROCK
1026,Above plus green sand,SAND
1027,Above plus green sandstone,BEDROCK
1028,Above plus green sandy shale,BEDROCK
1029,Above plus green shaley sand,BEDROCK
1030,Above plus green silty shale,BEDROCK
1031,Above plus light brown crystalline fossiliferous lime,BEDROCK
1032,Above plus light brown crystalline lime,BEDROCK
1033,Above plus light brown dolomitic lime,BEDROCK
1034,Above plus light gray shale,BEDROCK
1035,Above plus light green fine grained sand,BEDROCK
1036,Above plus red and gray shale,BEDROCK
1037,Above plus red and green shale,BEDROCK
1038,Above plus red shale,BEDROCK
1039,Above plus tan and brown crystalline fossiliferous lime,BEDROCK
1040,Above plus tan and light brown crystalline lime,BEDROCK
1041,Above plus tan crystalline fossiliferous lime,BEDROCK
1042,Above plus tan dolomitic lime,BEDROCK
1043,Above plus tan oolitic lime,BEDROCK
1044,"Above plus tan oolitic lime, tite",BEDROCK
1045,Above plus white chalky dolomite,BEDROCK
1046,Above plus white fine grained sand,SAND
1047,"Above plus white fine grained sand, no show of oil",BEDROCK
1048,Above plus white fine grained sandstone,BEDROCK
1049,Above plus white sand,SAND
1050,Above to brown dolomitic lime,BEDROCK
1051,Above to brown oolitic crystalline lime,BEDROCK
1052,Above to brown oolitic lime,BEDROCK
1053,Above to brown sandy lime,BEDROCK
1054,Above to brown sucrossic dolomite,BEDROCK
1055,Above to chalky,BEDROCK
1056,Above to crystalline lime,BEDROCK
1057,Above to dark brown crystalline fossiliferous lime,BEDROCK
1058,Above to dense lime,BEDROCK
1059,Above to dolomite,BEDROCK
1060,Above to gray brown dolomitic lime,BEDROCK
1061,Above to gray oolitic lime,BEDROCK
1062,Above to gray sandy lime,BEDROCK
1063,Above to gray sandy shale,BEDROCK
1064,Above to gray silty shale,BEDROCK
1065,Above to gray sucrossic dolomite,BEDROCK
1066,Above to green calcareous sand,UNKNOWN
1067,Above to green sandy shale,BEDROCK
1068,Above to green shale,BEDROCK
1069,Above to light brown,UNKNOWN
1070,Above to light brown crystalline fossiliferous lime,BEDROCK
1071,Above to light brown fossiliferous crystalline lime,BEDROCK
1072,Above to light brown fossiliferous lime,BEDROCK
1073,Above to light brown oolitic crystalline lime,BEDROCK
1074,Above to light brown sandy lime,BEDROCK
1075,Above to light brown sucrossic dolomite,BEDROCK
1076,Above to light gray crystalline lime,BEDROCK
1077,Above to light gray dolomitic lime,BEDROCK
1078,Above to light gray sucrossic dolomite,BEDROCK
1079,Above to light green limey sand,SAND
1080,Above to limey,BEDROCK
1081,Above to pyritic,BEDROCK
1082,Above to sandy,BEDROCK
1083,Above to slightly dolomitic,BEDROCK
1084,Above to slightly fossiliferous,BEDROCK
1085,Above to slightly oolitic,BEDROCK
1086,Above to sucrossic dolomite,BEDROCK
1087,Above to tan crystalline lime,BEDROCK
1088,Above to white fine grained sand,SAND
1089,Above to white limey sand,SAND
1090,Above to white sand,SAND
1091,Above with brown dolomitic lime,BEDROCK
1092,Above with gray dolomitic lime,BEDROCK
1093,Above with scattered oolites,BEDROCK
1094,"Above, calcareous",UNKNOWN
1095,"Above, dull fluorescence",BEDROCK
1096,"Above, few fossils",BEDROCK
1097,"Above, few oolites",BEDROCK
1098,"Above, few pieces chert",BEDROCK
1099,"Above, few pieces fluorescence",BEDROCK
1100,"Above, few scattered oolites",BEDROCK
1101,"Above, fluorescence",BEDROCK
1102,"Above, fractured",BEDROCK
1103,"Above, gassy",UNKNOWN
1104,"Above, glauconitic",BEDROCK
1105,"Above, less chalky",BEDROCK
1106,"Above, less chert",BEDROCK
1107,"Above, less fluorescence",BEDROCK
1108,"Above, less oolites",BEDROCK
1109,"Above, less oolitic",BEDROCK
1110,"Above, less show",UNKNOWN
1111,"Above, limey",BEDROCK
1112,"Above, limey streaks",UNKNOWN
1113,"Above, little chert",BEDROCK
1114,"Above, little sandy",UNKNOWN
1115,"Above, little shaley",BEDROCK
1116,"Above, more dolomitic",BEDROCK
1117,"Above, no chert",BEDROCK
1118,"Above, no fluorescence",BEDROCK
1119,"Above, no oolites",BEDROCK
1120,"Above, no shale",BEDROCK
1121,"Above, no show of oil",BEDROCK
1122,"Above, oolites very small",BEDROCK
1123,"Above, oolitic in part",BEDROCK
1124,"Above, sandy",UNKNOWN
1125,"Above, scattered oolite",BEDROCK
1126,"Above, show of oil and gas",BEDROCK
1127,"Above, silty",UNKNOWN
1128,"Above, slight dolomitic",BEDROCK
1129,"Above, slight show of oil",BEDROCK
1130,"Above, slight show of oil and gas",BEDROCK
1131,"Above, slightly calcareous",UNKNOWN
1132,"Above, slightly dolomitic",BEDROCK
1133,"Above, slightly fossiliferous",BEDROCK
1134,"Above, some chert",BEDROCK
1135,"Above, some fluorescence",BEDROCK
1136,"Above, tite",UNKNOWN
1137,"Above, very chalky",BEDROCK
1138,"Above, very cherty",BEDROCK
1139,"Above, very dolomitic",BEDROCK
1140,"Above, very sandy",BEDROCK
1141,"Above, very slight show of oil",BEDROCK
1142,"Above, very slight show of oil, few pieces fluorescence",BEDROCK
1143,"Above, very very slight show of oil",BEDROCK
1144,"Above, vuggy",BEDROCK
1145,abs,UNKNOWN
1146,Amount and character as above,UNKNOWN
1147,"As above, no show of oil.",BEDROCK
1148,As above.,UNKNOWN
1149,assumed loose sand & gravel,SAND AND GRAVEL
1150,blue packed sand,SAND
1151,br stoney clay,DIRT AND BEDROCK
1152,brown bottom,UNKNOWN
1153,brown sand - medium,SAND
1154,brown sand wet,SAND
1155,brown sandstone & clay,DIRT AND BEDROCK
1156,brown sandstone with clay,DIRT AND BEDROCK
1157,brown sandy firm clay,CLAY AND SAND
1158,Brown sandy fossiliferous lime,BEDROCK
1159,brown shale & limestone,BEDROCK
1160,brown shaley limestone,BEDROCK
1161,brown silty clay with sand & gravel,CLAY AND GRAVEL
1162,Brown slightly dolomitic fossiliferous lime,BEDROCK
1163,Brown to dark brown crystalline lime,BEDROCK
1164,building sand,SAND
1165,calcareous sandstone,BEDROCK
1166,calcareous shale,BEDROCK
1167,carbonaceous shale  ,BEDROCK
1168,Cavings,BEDROCK
1169,Cavity.,BEDROCK
1170,cemented sand clay,CLAY AND SAND
1171,chert at,BEDROCK
1172,chunk rock,BEDROCK
1173,chunk rock & clay,DIRT AND BEDROCK
1174,"clay ""blue band""",CLAY
1175,clay & flint,DIRT AND BEDROCK
1176,clay & gray clay mix,CLAY
1177,clay & sand brown,CLAY AND SAND
1178,clay & sand loam,CLAY AND SAND
1179,clay & sandy loam,CLAY AND SAND
1180,clay (blue band),CLAY
1181,clay / rubble,DIRT AND BEDROCK
1182,clay and few gravel,CLAY AND GRAVEL
1183,clay brown & cobbles,CLAY
1184,clay brown & gravel,CLAY AND GRAVEL
1185,clay brown & gray hard,CLAY
1186,clay brown & light gray,CLAY
1187,clay brown dense,CLAY
1188,clay brown firm sandy,CLAY AND SAND
1189,clay brown firm tacky,CLAY
1190,clay brown gray,CLAY
1191,clay brown sand streaks,CLAY AND SAND
1192,clay brown sandy firm,CLAY AND SAND
1193,clay brown sandy soft,CLAY AND SAND
1194,clay brown silty firm,BEDROCK
1195,clay brown silty soft,CLAY
1196,clay dark brown silty,CLAY
1197,clay gray & brown sandy,CLAY AND SAND
1198,clay gray & cobbles,BOULDER
1199,clay gray & sand brown,CLAY AND SAND
1200,clay gray & sand dry,CLAY AND SAND
1201,clay gray firm sticky,CLAY
1202,clay gray hard sandy,CLAY AND SAND
1203,clay gray sandy & pebble,CLAY AND GRAVEL
1204,clay gray sandy & pebble hard,CLAY AND GRAVEL
1205,clay gray w/sand & gravel,CLAY AND GRAVEL
1206,clay gray with sand streaks,CLAY AND SAND
1207,"clay gray, base of glacial",CLAY
1208,"clay gray, hard (blue band)",CLAY
1209,clay light brown sandy,CLAY AND SAND
1210,clay light gray & brown,CLAY
1211,clay light gray sandy,CLAY AND SAND
1212,clay limestone,DIRT AND BEDROCK
1213,clay loam diamicton,CLAY
1214,clay orange sandy,CLAY AND SAND
1215,clay rubble,DIRT AND BEDROCK
1216,clay slip,CLAY
1217,clay tan with sandstone & gravel,DIRT AND BEDROCK
1218,clay with coarse gravel,CLAY AND GRAVEL
1219,clay yellow & gravel,CLAY AND GRAVEL
1220,clay yellow & gray sandy,CLAY AND SAND
1221,clay yellow brown sandy,CLAY AND SAND
1222,clay yellow sandy hard,CLAY AND SAND
1223,"clay, broken limestone",DIRT AND BEDROCK
1224,"clay, brown, and gravel",CLAY AND GRAVEL
1225,"clay, gray with gravel",CLAY AND GRAVEL
1226,"clay, lime",DIRT AND BEDROCK
1227,"clay, limestone",DIRT AND BEDROCK
1228,"clay, red & blue",CLAY
1229,"Clay, silty, sandy, calcareous, gray pebbles, spores",CLAY AND GRAVEL
1230,"Clay, silty, sandy, calcareous, gray, pebbles",CLAY AND GRAVEL
1231,"Clay, silty, sandy, calcareous, grayish brown, spores",CLAY AND SAND
1232,"clay, stones",BOULDER
1233,"clay, stones & boulders",BOULDER
1234,"clay, yellow and white",CLAY
1235,clay/boulders,BOULDER
1236,clay/shale,DIRT AND BEDROCK
1237,clayey sand (SC),SAND AND CLAY
1238,clayey silt to sandy silt,SILT AND SAND
1239,clay-lime,DIRT AND BEDROCK
1240,"Claystone & Siltst, Carbondale Formation",BEDROCK
1241,clean dolomite,BEDROCK
1242,Coal - normally bright banded.,BEDROCK
1243,coal #1?,BEDROCK
1244,coal #5 good,BEDROCK
1245,coal #5A,BEDROCK
1246,coal & clay mixed,DIRT AND BEDROCK
1247,coal (#6),BEDROCK
1248,coal (DeKoven),BEDROCK
1249,coal and clay mixed,DIRT AND BEDROCK
1250,coal broken,BEDROCK
1251,coal medium,BEDROCK
1252,coal mine,BEDROCK
1253,coal no. 1,BEDROCK
1254,"coal, bone",BEDROCK
1255,"Coal, bony.",BEDROCK
1256,"Coal, bright",BEDROCK
1257,"Coal, Carbondale Formation, Herrin (No. 6) Coal Member",BEDROCK
1258,"coal, dirty",BEDROCK
1259,"Coal, dull",BEDROCK
1260,"coal, hard (no. 6)",BEDROCK
1261,"Coal, medium bright",BEDROCK
1262,"Coal, normally banded.",BEDROCK
1263,"coal, normally bright banded",BEDROCK
1264,"coal, solid",BEDROCK
1265,coarse gray sand with fine gravel,SAND AND GRAVEL
1266,coarse sand - pea gravel,SAND AND GRAVEL
1267,coarse sand - Sankoty,SAND
1268,coarse sand & fine to medium gravel mix,SAND AND GRAVEL
1269,coarse sand gravel rocks,SAND AND GRAVEL
1270,coarse sand med gravel,SAND AND GRAVEL
1271,coarse sand med gravel rocks,SAND AND GRAVEL
1272,coarse sand sankoty,SAND
1273,coarse sand with fine gravel,SAND AND GRAVEL
1274,coarse sand with small gravel,SAND AND GRAVEL
1275,conglomerate lime & shale,BEDROCK
1276,"core #1, sandy shale",BEDROCK
1277,Core #2,UNKNOWN
1278,"core #2, gray shale",BEDROCK
1279,core #3,UNKNOWN
1280,"core #3, gray shale",BEDROCK
1281,"core loss, no sample",UNKNOWN
1282,crevice limestone,BEDROCK
1283,crumbly sandrock,BEDROCK
1284,Cypress sandstone,BEDROCK
1285,"Cypress, show of oil",BEDROCK
1286,Dark brown dolomitic lime,BEDROCK
1287,Dark brown oolitic lime,BEDROCK
1288,"Dark brown silky shale, gassy",BEDROCK
1289,Dark brown slightly dolomitic lime,BEDROCK
1290,dark clay-sand,CLAY AND SAND
1291,Dark gray brown crystalline fossiliferous lime,BEDROCK
1292,dark gray cherty limestone,BEDROCK
1293,Dark gray crystalline lime,BEDROCK
1294,Dark gray dense lime,BEDROCK
1295,dark gray fossiliferous shale,BEDROCK
1296,dark gray sandy limestone,BEDROCK
1297,Dark gray silty shale,BEDROCK
1298,dark gray to black shale,BEDROCK
1299,dark limerock,BEDROCK
1300,dark red clay water,CLAY
1301,dark shale (solid),BEDROCK
1302,dark shaley sandrock,BEDROCK
1303,Decorah,BEDROCK
1304,decorah limestone,BEDROCK
1305,Dense gray limestone.,BEDROCK
1306,dense limestone caprock,BEDROCK
1307,dirty packed sand,SAND
1308,dolomite as above,BEDROCK
1309,dolomite at,BEDROCK
1310,dolomite clean,BEDROCK
1311,dolomite gray,BEDROCK
1312,Dubuque limestone,BEDROCK
1313,dug,UNKNOWN
1314,dull gray lime,BEDROCK
1315,Edgewood,BEDROCK
1316,emb brn clay,CLAY
1317,Eminence at,BEDROCK
1318,Equality formation clay,CLAY
1319,"Equality formation, clay",CLAY
1320,"Equality/Henry Formation - laminated silt, stratified sand, some gravel - tends to have moderate-low blow counts (15-25)",CLAY
1321,fair coal,BEDROCK
1322,false bottom,UNKNOWN
1323,fine grain sandrock,BEDROCK
1324,"Fine grained white sandstone, oxidized.",BEDROCK
1325,fine medium sand some coarse,SAND
1326,fine sand - Sankoty,SAND
1327,fine sand-light gravel,SAND AND GRAVEL
1328,fine sankoty,SAND
1329,"fine, medium, coarse sand",SAND
1330,firm gray clay with drift,CLAY
1331,firm tacky brown clay,CLAY
1332,flint & lime,BEDROCK
1333,formation tops,UNKNOWN
1334,fossil lime,BEDROCK
1335,fossil shale,BEDROCK
1336,fossiliferous shale,BEDROCK
1337,fossily gray limestone,BEDROCK
1338,Franconia at,BEDROCK
1339,Franconia sandstone and dolomite,BEDROCK
1340,Fusain.,BEDROCK
1341,Galena Formation,BEDROCK
1342,Galena Platteville lime,BEDROCK
1343,"Galesville (Dresbach) sandstone, water-bearing",BEDROCK
1344,"Galesville sandstone, water-bearing",BEDROCK
1345,Glacial drift & Penn. sands & shales,DIRT AND BEDROCK
1346,Glasford Fm. till,CLAY
1347,Glassrock (Quimbys Mill),BEDROCK
1348,Glen Dean limestone,BEDROCK
1349,"Glenwood, sandstone",BEDROCK
1350,Glenwood/sandstone,BEDROCK
1351,Glenwood/shale,BEDROCK
1352,Golconda,BEDROCK
1353,Golconda Limestone,BEDROCK
1354,Golconda top at,BEDROCK
1355,gravel & boulders mix,BOULDER
1356,gravel & sand wet,SAND AND GRAVEL
1357,gravel w/strks clay,GRAVEL AND CLAY
1358,"gravelly sand, poorly graded",SAND AND GRAVEL
1359,gray & brown hardpan,SOIL
1360,gray & light gray limestone,BEDROCK
1361,gray & purple shale,BEDROCK
1362,gray & white lime (H),BEDROCK
1363,gray & white lime H,BEDROCK
1364,Gray and brown dense lime,BEDROCK
1365,Gray and brown sandy lime,BEDROCK
1366,Gray and brown shale,BEDROCK
1367,Gray and gray brown crystalline fossiliferous lime,BEDROCK
1368,Gray and gray brown crystalline lime,BEDROCK
1369,Gray and green calcareous sand,SAND
1370,Gray and green fine grained sand,SAND
1371,Gray and green shale sandy,BEDROCK
1372,"Gray and green shale, limey streaks",BEDROCK
1373,Gray and green silty shale,BEDROCK
1374,Gray and light brown crystalline fossiliferous lime,BEDROCK
1375,gray bottom,UNKNOWN
1376,Gray brown crystalline cherty lime,BEDROCK
1377,"Gray brown crystalline lime, slightly dolomitic",BEDROCK
1378,"Gray brown crystalline lime, slightly oolitic",BEDROCK
1379,Gray brown crystalline to dense lime,BEDROCK
1380,Gray brown crystalline to slightly dolomitic lime,BEDROCK
1381,"Gray brown dolomitic lime, chalky",BEDROCK
1382,"Gray brown dolomitic lime, cherty",BEDROCK
1383,Gray brown fossiliferous lime,BEDROCK
1384,Gray brown oolitic fossiliferous lime,BEDROCK
1385,Gray brown sandy lime,BEDROCK
1386,Gray brown slightly dolomitic lime,BEDROCK
1387,gray chalky lime,BEDROCK
1388,gray clay (light),CLAY
1389,gray clay firm sandy,CLAY AND SAND
1390,gray clay firm sticky,CLAY
1391,gray clay sandy & pebble,CLAY AND GRAVEL
1392,gray clay w/gravel boulders,BOULDER
1393,gray clay with gravel boulders,BOULDER
1394,"gray clay, gravel mixed in",CLAY AND GRAVEL
1395,gray coarse sand with fine gravel,SAND AND GRAVEL
1396,Gray crystalline cherty lime,BEDROCK
1397,"Gray crystalline fossiliferous lime, cherty",BEDROCK
1398,"Gray crystalline fossiliferous lime, scattered oolites",BEDROCK
1399,Gray crystalline lime cherty,BEDROCK
1400,"Gray crystalline lime, slightly dolomitic",BEDROCK
1401,"Gray crystalline lime, slightly fossiliferous",BEDROCK
1402,Gray crystalline lime.,BEDROCK
1403,Gray crystalline to oolitic lime,BEDROCK
1404,Gray crystalline to slightly dolomitic lime,BEDROCK
1405,gray dolomite & flint,BEDROCK
1406,Gray dolomitic crystalline lime,BEDROCK
1407,Gray dolomitic lime cherty,BEDROCK
1408,"Gray dolomitic lime, chalky",BEDROCK
1409,"Gray dolomitic lime, cherty",BEDROCK
1410,Gray dolomitic to crystalline lime,BEDROCK
1411,Gray fine grained sandstone,BEDROCK
1412,Gray fossiliferous crystalline lime,BEDROCK
1413,Gray fossiliferous lime,BEDROCK
1414,gray fossly limestone,BEDROCK
1415,gray Galena limestone,BEDROCK
1416,gray gravel & clay mix,GRAVEL AND CLAY
1417,gray gravel wet,GRAVEL
1418,gray gravelly clay bottom at,CLAY AND GRAVEL
1419,gray gravelly clay hardpacked,CLAY AND GRAVEL
1420,Gray green and red shale,BEDROCK
1421,gray h.p.,SOIL
1422,gray hardpan (solid),SOIL
1423,gray hardpan solid,SOIL
1424,"gray hardpan, solid",SOIL
1425,"gray hardpan,solid",SOIL
1426,gray lime & flint,BEDROCK
1427,gray lime H,BEDROCK
1428,gray limestone & flint,BEDROCK
1429,gray limestone & sh,BEDROCK
1430,gray limestone with shale,BEDROCK
1431,Gray limestone.,BEDROCK
1432,gray limestone/shale,BEDROCK
1433,gray limestone/shale streaks,BEDROCK
1434,Gray oolitic crystalline lime,BEDROCK
1435,Gray oolitic fossiliferous lime,BEDROCK
1436,gray rock & gray shale,BEDROCK
1437,gray rock & hard gray shale,BEDROCK
1438,gray sand - medium,SAND
1439,gray sand with silt,SAND AND CLAY
1440,"gray sand, gravel, clay",CLAY AND GRAVEL
1441,gray sandstone & gray shale in sheets,BEDROCK
1442,gray sandstone & sandy shale,BEDROCK
1443,gray sandstone & shale streaks,BEDROCK
1444,gray sandstone & water,BEDROCK
1445,gray sandstone w/ shale,BEDROCK
1446,gray sandstone with shale,BEDROCK
1447,gray sandstone/shale,BEDROCK
1448,gray sandstone/shale streaks,BEDROCK
1449,gray sandy clay @,CLAY AND SAND
1450,Gray sandy fossiliferous lime,BEDROCK
1451,Gray sandy oolitic lime,BEDROCK
1452,Gray sandy shale.,BEDROCK
1453,gray sh & limestone,BEDROCK
1454,gray shale & gray rock,BEDROCK
1455,gray shale & limestone streaks,BEDROCK
1456,gray shale (hard),BEDROCK
1457,gray shale and lime,BEDROCK
1458,gray shale M,BEDROCK
1459,gray shale medium,BEDROCK
1460,gray shale M-F,BEDROCK
1461,Gray shale plus brown crystalline fossiliferous lime,BEDROCK
1462,Gray shale plus brown crystalline lime,BEDROCK
1463,gray shale sticky,BEDROCK
1464,Gray shale with lime,BEDROCK
1465,gray shale with lime bands,BEDROCK
1466,gray shale with lime streaks,BEDROCK
1467,gray shale with sandstone streaks,BEDROCK
1468,"Gray Shale, Carbondale Formation",BEDROCK
1469,"Gray shale, limey",BEDROCK
1470,"gray shale, rock",BEDROCK
1471,"Gray Shale, Shelburn Formation",BEDROCK
1472,gray shale/limestone streaks,BEDROCK
1473,gray shale/sandstone,BEDROCK
1474,gray shale/sandstone streaks,BEDROCK
1475,gray shale-sandy,BEDROCK
1476,gray shale-soft,BEDROCK
1477,Gray siltstone.,BEDROCK
1478,gray silty clay with sand & gravel,CLAY AND GRAVEL
1479,"gray silty clay, some gravel intermixed",CLAY AND GRAVEL
1480,Gray silty lime,BEDROCK
1481,Gray silty shale.,BEDROCK
1482,Gray slightly dolomitic lime,BEDROCK
1483,Gray to dark gray shale.,BEDROCK
1484,gray water sandstone,BEDROCK
1485,Gray/brown crystalline lime,BEDROCK
1486,gray-green shale,BEDROCK
1487,"gray-green soft, moist silty clay",CLAY AND SAND
1488,"gray-green, soft moist silty clay, CL",CLAY AND SAND
1489,gray-light brown silty clay w/sand,CLAY AND SAND
1490,"Grayslake Peat - tends to have low blow counts (<10) lithology - peat, silt with ""marine shells""",ORGANIC MATERIAL
1491,Green and gray shale sandy,BEDROCK
1492,Green and white fine grained sandstone,BEDROCK
1493,Green calcareous sand,SAND
1494,green dirt,SOIL
1495,"Green fine grained sand, shaley",DIRT AND BEDROCK
1496,Green shaley sand,DIRT AND BEDROCK
1497,Green silty shale,BEDROCK
1498,gry fosly limestone,BEDROCK
1499,gry ls w/strks shale,BEDROCK
1500,gry sandstone-shaley,BEDROCK
1501,gry sandy limestone,BEDROCK
1502,gry sh & limestone,BEDROCK
1503,H.C.,UNKNOWN
1504,"Haeger Member, Lemont formation - has high blow counts (in general 25-75) lithology - silt with rock fragments",CLAY
1505,hard black shale (slate),BEDROCK
1506,hard cemented gray sandstone,BEDROCK
1507,hard gray & white lime,BEDROCK
1508,hard gray sandy limestone,BEDROCK
1509,hard off white lime,BEDROCK
1510,hard yellow lime,BEDROCK
1511,hardspot,UNKNOWN
1512,heavy sand & light rock,DIRT AND BEDROCK
1513,heavy sand & rock,DIRT AND BEDROCK
1514,Herrin,BEDROCK
1515,Herrin (No. 6) Coal - Removed by company,BEDROCK
1516,Hodge podge after trip for bit,DIRT
1517,humus,ORGANIC MATERIAL
1518,interval not cored,UNKNOWN
1519,into drift to gravel,DIRT
1520,into drift to sand,DIRT
1521,Kinderhook,BEDROCK
1522,Kinderhook shale at,BEDROCK
1523,layered sand & hardpacked gravelly clay,SAND AND CLAY
1524,layered sandy gvl & hardpacked gvl clay,SAND AND GRAVEL
1525,lean clay cl brn stiff compacted,CLAY
1526,lean clay cl gray soft,CLAY
1527,lean clay cl gry med soft,CLAY
1528,left in hole,UNKNOWN
1529,Lemont formation Yorkville clay,CLAY
1530,"Lemont formation, Yorkville clay",CLAY
1531,lgt gray sandstone,BEDROCK
1532,light brown & white sandstone,BEDROCK
1533,Light brown crystalline cherty lime,BEDROCK
1534,"Light brown crystalline fossiliferous lime, cherty",BEDROCK
1535,"Light brown crystalline fossiliferous lime, scattered oolites",BEDROCK
1536,Light brown crystalline lime cherty,BEDROCK
1537,"Light brown crystalline lime, slightly dolomitic",BEDROCK
1538,"Light brown crystalline lime, slightly fossiliferous",BEDROCK
1539,Light brown crystalline to dense lime,BEDROCK
1540,Light brown crystalline to dolomitic lime,BEDROCK
1541,Light brown crystalline to slightly dolomitic lime,BEDROCK
1542,Light brown dense lime,BEDROCK
1543,Light brown dolomitic crystalline lime,BEDROCK
1544,Light brown dolomitic fossiliferous lime,BEDROCK
1545,"Light brown dolomitic lime, chalky",BEDROCK
1546,"Light brown dolomitic lime, cherty",BEDROCK
1547,"Light brown dolomitic lime, slightly oolitic",BEDROCK
1548,Light brown fossiliferous crystalline lime,BEDROCK
1549,Light brown fossiliferous lime,BEDROCK
1550,Light brown granular textured lime,BEDROCK
1551,light brown medium to coarse sand,SAND
1552,Light brown oolitic dolomitic lime,BEDROCK
1553,"Light brown oolitic lime, chalky",BEDROCK
1554,"Light brown oolitic lime, no show of oil",BEDROCK
1555,"Light brown oolitic lime, tite",BEDROCK
1556,Light brown oolitic sandy lime,BEDROCK
1557,Light brown sandy oolitic lime,BEDROCK
1558,Light brown slightly dolomitic lime,BEDROCK
1559,Light gray brown crystalline to dolomitic lime,BEDROCK
1560,Light gray brown oolitic fossiliferous lime,BEDROCK
1561,Light gray calcareous sand,SAND
1562,light gray clay shale,BEDROCK
1563,Light gray crystalline fossiliferous lime,BEDROCK
1564,Light gray dolomite,BEDROCK
1565,Light gray dolomitic crystalline lime,BEDROCK
1566,Light gray fine grained sand,SAND
1567,Light gray fossiliferous crystalline lime,BEDROCK
1568,light gray fossly limestone,BEDROCK
1569,Light gray limey sand,SAND
1570,Light gray oolitic crystalline lime,BEDROCK
1571,Light gray oolitic lime,BEDROCK
1572,Light gray sandy limestone,BEDROCK
1573,Light gray shale.,BEDROCK
1574,light gray to white sandstone,BEDROCK
1575,Light green and white fine grained sand,SAND
1576,Light green calcareous sand,SAND
1577,Light green limey sand,SAND
1578,light to medium gray shale,BEDROCK
1579,Like preceding,UNKNOWN
1580,Like the preceding,UNKNOWN
1581,lime - hard,BEDROCK
1582,lime & hard sand,DIRT AND BEDROCK
1583,lime & shale gray,BEDROCK
1584,lime & shale strips,BEDROCK
1585,lime & shaley lime,BEDROCK
1586,lime (Barlow),BEDROCK
1587,lime (flint),BEDROCK
1588,lime (odor),BEDROCK
1589,lime and sand,DIRT AND BEDROCK
1590,lime chert,BEDROCK
1591,lime dark medium,BEDROCK
1592,lime gray & brown,BEDROCK
1593,lime gray & dark gray,BEDROCK
1594,lime gray & light gray,BEDROCK
1595,lime gray medium,BEDROCK
1596,"lime rock, hard",BEDROCK
1597,lime streaks,BEDROCK
1598,lime w/shale,BEDROCK
1599,lime with shale bands,BEDROCK
1600,lime with shale seams,BEDROCK
