ID,DESCRIPTION,LITHOLOGY
2143,Salem Upper,BEDROCK
2144,clay - gray,CLAY
2145,clay loam,CLAY AND SAND
2146,soft blue shale,BEDROCK
2147,Very tough blue clay,CLAY
2148,medium sand & gravel,SAND AND GRAVEL
2149,dirty sand & gravel,SAND AND GRAVEL
2150,soil & yellow clay,SOIL
2151,hardpacked gravelly clay,CLAY AND GRAVEL
2152,"clay, sandy",CLAY AND SAND
2153,Stiff blue clay,CLAY
2154,Tar Springs Middle,BEDROCK
2155,sandy silt,SILT
2156,old well,UNKNOWN
2157,yellow shale,BEDROCK
2158,dark brown clay,CLAY
2159,hard gray clay till,CLAY AND SAND
2160,quicksand,SAND
2161,medium gray sand,SAND
2162,Sweetland Creek,BEDROCK
2163,red sandy clay,CLAY
2164,topsoil clay,SOIL
2165,Rosiclare Sand,BEDROCK
2166,Topsoil,SOIL
2167,sand streak,SAND
2168,"coal, hard",BEDROCK
2169,till,CLAY AND SAND
2170,Fine yellow sand.,SAND
2171,gray dirt,SOIL
2172,b clay,CLAY
2173,buff limestone,BEDROCK
2174,dark brown topsoil,SOIL
2175,Very tough blue clay.,CLAY
2176,10 slot sand,SAND
2177,rubble,FILL
2178,"sand, gray",UNKNOWN
2179,topsoil black,SOIL
2180,clay & boulders,BOULDER
2181,clay (yellow),CLAY
2182,hard blue shale,BEDROCK
2183,sand gray,UNKNOWN
2184,sandy gravelly clay,SAND AND GRAVEL
2185,limestone gravel,GRAVEL
2186,soft brown clay,CLAY
2187,very fine sand,SAND
2188,sand medium,SAND
2189,top soil black,SOIL
2190,Limestone,BEDROCK
2191,medium sand to medium gravel,SAND AND GRAVEL
2192,Piasa,BEDROCK
2193,Gray and green shale,BEDROCK
2194,Geneva,BEDROCK
2195,Dutch Creek,BEDROCK
2196,gravel & gray clay,CLAY AND GRAVEL
2197,dry sand,UNKNOWN
2198,light gray clay,CLAY
2199,rock & shale,BEDROCK
2200,gray clay sand,CLAY AND SAND
2201,stiff brown sandy clay loam (moist) A-6,CLAY AND SAND
2202,"clay,yellow",CLAY
2203,yellow clay sand,CLAY AND SAND
2204,Rockford,BEDROCK
2205,gray clay w/gravel,CLAY AND GRAVEL
2206,dark clay,CLAY
2207,no recovery,UNKNOWN
2208,Fine grey sand.,SAND
2209,blue mud,CLAY
2210,"clay, red",CLAY
2211,brown yellow clay,CLAY
2212,clay tan,CLAY
2213,med gravel,GRAVEL
2214,hard gray clay loam till,CLAY AND SAND
2215,Aux Vases Dolomite,BEDROCK
2216,yellow & blue clay,CLAY
2217,red clay & flint,CLAY AND GRAVEL
2218,"clay, brown",CLAY
2219,hard gray limestone,BEDROCK
2220,sandstone gray,BEDROCK
2221,sandy loam,CLAY AND SAND
2222,dense brown sand (moist) A-3,SAND
2223,gray clayey silt,SILT
2224,cap rock,BEDROCK
2225,fine yellow sand,SAND
2226,yellow,UNKNOWN
2227,loose brown sandy loam (moist) A-4,CLAY AND SAND
2228,soft brown shale,BEDROCK
2229,limestone shale mix,BEDROCK
2230,not on shale at,UNKNOWN
2231,gravel at,GRAVEL
2232,limestone ledge,BEDROCK
2233,clay (blue),CLAY
2234,Coal.,BEDROCK
2235,core loss,UNKNOWN
2236,brown and gray silt,SILT
2237,sand and shale,BEDROCK
2238,mud sand,CLAY AND SAND
2239,top soil & clay,SOIL
2240,yellow till,CLAY AND SAND
2241,stiff gray clay till,CLAY AND SAND
2242,sand & small gravel,SAND AND GRAVEL
2243,Grand Tower,BEDROCK
2244,gravel clay,CLAY AND GRAVEL
2245,white sandrock,BEDROCK
2246,dense brown sand & gravel (moist) A-1-a,SAND AND GRAVEL
2247,"clay,blue",CLAY
2248,quick sand,SAND
2249,clay sandy,CLAY AND SAND
2250,"dirt, black",SOIL
2251,clay green,CLAY
2252,light gray sandstone,BEDROCK
2253,fractured limestone,BEDROCK
2254,small gravel,GRAVEL
2255,green sandy clay,CLAY AND SAND
2256,muck,CLAY
2257,Hannibal,BEDROCK
2258,sand and clay,CLAY AND SAND
2259,mealy sand,SAND
2260,12 slot sand,SAND
2261,fine to medium gray sand,SAND
2262,same as above,UNKNOWN
2263,fine red sand,SAND
2264,coal #7,BEDROCK
2265,Shoal Creek,BEDROCK
2266,sandy limestone,BEDROCK
2267,Hard blue clay.,CLAY
2268,clay & shale,BEDROCK
2269,clay - yellow,CLAY
2270,coal #5,BEDROCK
2271,Concrete,FILL
2272,"sand, yellow",UNKNOWN
2273,hard brown clay,CLAY
2274,soft sandy clay,CLAY AND SAND
2275,Chattanooga,BEDROCK
2276,No samples,UNKNOWN
2277,dense clay,CLAY
2278,rocky gray clay,CLAY AND GRAVEL
2279,rocks,UNKNOWN
2280,lime gray,UNKNOWN
2281,pebbly gray clay,CLAY AND GRAVEL
2282,fine silty sand,SAND
2283,medium to coarse gravel,GRAVEL
2284,sandy slate,BEDROCK
2285,blue,UNKNOWN
2286,cemented gravel,GRAVEL
2287,brown and gray clay till,CLAY AND SAND
2288,Oil Rock (Guttenberg),BEDROCK
2289,Golconda Lower,BEDROCK
2290,gray fine to medium sand,SAND
2291,"clay, soft, gray",CLAY
2292,No description,UNKNOWN
2293,top soil to yellow clay,SOIL
2294,Ullin,BEDROCK
2295,sandy soil,CLAY AND SAND
2296,sandy red clay,CLAY AND SAND
2297,lime hard,BEDROCK
2298,clay sand,CLAY AND SAND
2299,yellow gravelly clay,CLAY AND GRAVEL
2300,Niagra,BEDROCK
2301,gray sandy clay loam till,CLAY AND SAND
2302,Fort Payne,BEDROCK
2303,Ridenhower,BEDROCK
2304,"sand, coarse",SAND
2305,very stiff pebbly gray clay till,CLAY AND GRAVEL
2306,sandstone white,BEDROCK
2307,gray drift,CLAY AND SAND
2308,Davis Coal,BEDROCK
2309,hard gray dirt,CLAY
2310,red clay & sand,CLAY AND SAND
2311,lime and shale,BEDROCK
2312,gray sandy silty clay,CLAY AND SAND
2313,hard white sandstone,BEDROCK
2314,muddy shale,BEDROCK
2315,red hardpan,CLAY
2316,dark sandy shale,BEDROCK
2317,blue drift,CLAY AND GRAVEL
2318,black,UNKNOWN
2319,"clay, sand & gravel",CLAY AND GRAVEL
2320,gravel with clay,CLAY AND GRAVEL
2321,gray soft clay,CLAY
2322,"clay gray, sandy",CLAY AND SAND
2323,"clay, gravel",CLAY AND GRAVEL
2324,sand & water,UNKNOWN
2325,dry gravel,GRAVEL
2326,yellow & gray clay,CLAY
2327,gray clay soft,CLAY
2328,Tiskilwa Till Member,CLAY AND SAND
2329,medium coarse sand,SAND
2330,sticky gray clay,CLAY
2331,gray clay w/sand,CLAY AND SAND
2332,cemented sand,SAND
2333,heavy gravel,GRAVEL
2334,Soft blue clay,CLAY
2335,clay yellow sandy,CLAY AND SAND
2336,soil and clay,SOIL
2337,med sand,SAND
2338,clean sand,SAND
2339,West Franklin,BEDROCK
2340,blue gravelly clay,CLAY AND GRAVEL
2341,fine medium sand,SAND
2342,Glacial Drift,CLAY AND SAND
2343,stiff brown clay (moist) A-7-6,CLAY
2344,black silty clay,CLAY
2345,Robinson Upper,BEDROCK
2346,sandy topsoil,SOIL
2347,White fine grained sand,SAND
2348,yellow sandrock,BEDROCK
2349,fine sand & clay,CLAY AND SAND
2350,"clay, gray and gravel",CLAY AND GRAVEL
2351,rocks at,UNKNOWN
2352,coarse yellow sand,SAND
2353,gray sandy silt,SILT AND SAND
2354,gray silty sand,SILT AND SAND
2355,coal #2,BEDROCK
2356,Pennsylvanian Lower,BEDROCK
2357,sand & light gravel,SAND AND GRAVEL
2358,brownish gray limestone,BEDROCK
2359,Siggins,BEDROCK
2360,Hannibal-Saverton,BEDROCK
2361,Colchester Coal,BEDROCK
2362,embedded brown clay,CLAY
2363,sand & lime,CLAY AND SAND
2364,stiff brown silty clay,CLAY
2365,clay and sand,CLAY AND SAND
2366,crushed stone,GRAVEL
2367,clod,SOIL
2368,fill dirt,FILL
