ID,DESCRIPTION,LITHOLOGY
75,Tan and light gray oolitic lime,BEDROCK
76,Tan and light gray crystalline lime,BEDROCK
77,Tan and white crystalline lime,BEDROCK
78,Tan and white crystalline fossiliferous dolomitic lime,BEDROCK
79,Tan and white crystalline fossiliferous lime,BEDROCK
80,Tan and very light brown crystalline slight dolomitic lime,BEDROCK
81,Tan and sandy oolitic fossiliferous lime,BEDROCK
82,Tan and white crystalline oolitic fossiliferous lime,BEDROCK
83,Tan and light gray brown oolitic lime,BEDROCK
84,Tan and light yellow crystalline fossiliferous lime,BEDROCK
85,Tan and light gray sandy crystalline lime,BEDROCK
86,Tan and light gray sandy oolitic lime,BEDROCK
87,Tan and light green dolomitic lime,BEDROCK
88,Tan and light pink red speckled lime,BEDROCK
89,Tan and white crystalline to dense lime,BEDROCK
90,Tan and red calcareous sandstone,BEDROCK
91,Tan and red crystalline lime,BEDROCK
92,Tan and red crystalline to oolitic lime,BEDROCK
93,Tan and reddish brown oolitic fossiliferous lime,BEDROCK
94,Tan and reddish fossiliferous oolitic lime,BEDROCK
95,Tan and gray dolomite,BEDROCK
96,Tan and gray crystalline slightly dolomitic lime,BEDROCK
97,Tan and gray crystalline to oolitic lime,BEDROCK
98,Tan and gray dense lime,BEDROCK
99,Tan and gray dolomite,BEDROCK
100,Tan and gray crystalline lim,BEDROCK
101,Tan and gray dolomitic crystalline lime,BEDROCK
102,Tan and gray dolomitic lime,BEDROCK
103,Tan and light brown cyrstalline fossiliferous lime,BEDROCK
104,Tan and gray crystalline fossiliferous lime,BEDROCK
105,Tan and gray crystalline slight dolomitic lime,BEDROCK
106,Tan and gray crystalline fossiliferous shaley lime,BEDROCK
107,"Tan and gray crystalline lime, slightly dolomitic",BEDROCK
108,Tan and gray fossiliferous lime,BEDROCK
109,Tan and gray lime,BEDROCK
110,Tan and gray fossiliferous oolitic lime,BEDROCK
111,Tan and gray fossiliferous lime,BEDROCK
112,Tan and gray mottled crystalline fossiliferous lime,BEDROCK
113,Tan and gray green dense lime,BEDROCK
114,Tan and gray cherty dolomite,BEDROCK
115,very soft gray silt,SILT
116,very soft gray shale,BEDROCK
117,"Tan and brown oolitic, dolomitic lime",BEDROCK
118,Tan and brown oolitic fossiliferous lime,BEDROCK
119,very soft lighr gray shale,BEDROCK
120,very soft hard gray/brown lime,BEDROCK
121,Tan and brown oolitic lime,BEDROCK
122,Tan and gray brown oolitic dolomitic lime,BEDROCK
123,Tan and gray brown crystalline lime,BEDROCK
124,Tan and gray brown mottled fossiliferous lime,BEDROCK
125,Tan and gray brown crystalline lime,BEDROCK
126,Tan and gray brown oolitic dolomitic lime,BEDROCK
127,Tan and gray brown oolitic fossiliferous lime,BEDROCK
128,Tan and gray brown sandy fossiliferous lime,BEDROCK
129,Tan and gray cherty crystalline lime,BEDROCK
130,Tan and gray brown dolomitic lime,BEDROCK
131,Tan and dark brown mottled crystalline lime,BEDROCK
132,Tan and gray oolitic and fossiliferous lime,BEDROCK
