ID,DESCRIPTION,LITHOLOGY
732,brown lime,BEDROCK
733,Brown lith,BEDROCK
734,brown loam diamicton,CLAY
735,brown ls,BEDROCK
736,brown medium grained sand,SAND
737,brown medium sand,SAND
738,brown medium to coarse sand,SAND
739,brown mud,GENERIC
740,Brown oolitic crystalline lime,BEDROCK
741,Brown oolitic dolomi,BEDROCK
742,Brown oolitic fossilifer,BEDROCK
743,Brown oolitic,BEDROCK
744,brown rock & clay,BEDROCK AND OTHER
745,brown rock and clay,BEDROCK AND OTHER
746,brown rock,BEDROCK
747,brown sand & gravel,SAND AND GRAVEL
748,brown sand & clay,SAND AND CLAY MIX
749,brown sand (,SAND
750,Brown sand and gravel,SAND AND GRAVEL
751,brown sand fine,SAND
752,brown sand F-M,SAND
753,"sh,blk",BEDROCK
754,"sh,sty,",BEDROCK
756,"till,",CLAY
757,"sh,",BEDROCK
